id_produto,cod_artigo,des_artigo,des_categoria,des_linha,des_colecao,cod_fornecedor,des_status
2420,01.16.25,REGATA FULL RENDA-0902-0419,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2421,01.16.25,REGATA FULL RENDA-0902-0419,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2422,01.16.25,REGATA FULL RENDA-0902-0419,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2423,01.16.25,REGATA FULL RENDA-0902-0419,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2424,01.16.25,REGATA FULL RENDA-0902-0419,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2425,01.16.26,REGATA  SEMI RENDA-0902-0708,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2426,01.16.26,REGATA  SEMI RENDA-0902-0708,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2427,01.16.26,REGATA  SEMI RENDA-0902-0708,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2428,01.16.26,REGATA  SEMI RENDA-0902-0708,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2429,01.16.26,REGATA  SEMI RENDA-0902-0708,UNDERWARE,BASICO,SEMI-CONTINUO VERAO,ZEE RUCCI,ATIVO
2430,01.39.3,TOP SEM BOJO-ZR0003,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2431,01.39.3,TOP SEM BOJO-ZR0003,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2432,01.39.3,TOP SEM BOJO-ZR0003,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2433,01.39.3,TOP SEM BOJO-ZR0003,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2434,01.39.3,TOP SEM BOJO-ZR0003,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2435,01.39.4,TOP COM BOJO-ZR0004,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2436,01.39.4,TOP COM BOJO-ZR0004,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2437,01.39.4,TOP COM BOJO-ZR0004,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2438,01.39.4,TOP COM BOJO-ZR0004,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2439,01.39.4,TOP COM BOJO-ZR0004,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2440,01.39.4,TOP COM BOJO-ZR0004,UNDERWARE,BASICO,CONTINUO,ZEE RUCCI,ATIVO
2441,02.01.24,KIT MEIA CANO LONGO-T08721,UNDERWARE,MEIA,CONTINUO,TRIFIL,AGRUPADO
2442,01.49.10,CAMISA S/M BORDADO-BRS0074,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2443,01.49.10,CAMISA S/M BORDADO-BRS0074,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2444,01.49.10,CAMISA S/M BORDADO-BRS0074,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2445,01.06.16,BERMUDA ALTA IMPULS RED-W06933,UNDERWARE,SHAPEWARE,CONTINUO,TRIFIL,ATIVO
2446,01.06.16,BERMUDA ALTA IMPULS RED-W06933,UNDERWARE,SHAPEWARE,CONTINUO,TRIFIL,ATIVO
2447,01.01.25,SOT BS PEROLA ALCA - 402334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2448,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2449,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2450,01.02.40,CALECON RENDA PB - 502404,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2451,01.26.28,CONJUNTO LIGA PEROLA - 102530,EROTICA,EROTICA,VERAO - 2015,CLASS,SALDO
2452,01.01.23,SOT BS FULL RENDA - 402368,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,ATIVO
2453,01.01.32,SOT PU RENDA LISO - 401060,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2454,01.01.25,SOT BS PEROLA ALCA - 402334,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2455,01.01.77,SOT BS RENDA STR BJ - 402416,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2456,01.01.40,SOT BS SOBREPOSICAO - 402453,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2457,01.01.40,SOT BS SOBREPOSICAO - 402453,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2458,01.01.49,SOT BS STRASS ALCA - 402454,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2459,01.01.26,SOT BS STRASS BOJO - 402418,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2460,01.01.26,SOT BS STRASS BOJO - 402418,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2461,01.01.73,SOT LONGO NORMAL - 402519,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,ATIVO
2462,01.01.76,SOT LONGO STRASS - 402519ST,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2463,01.01.74,SOT LONGO STR+PER - 402519SP,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2464,01.01.29,SOT PU POA RENDA - 402360,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2465,01.28.41,UNDERBRA -U18012,ACESSORIOS,INDEFINIDA,SEMI-CONTINUO,UNIVERSE S/A,ATIVO
2466,01.28.41,UNDERBRA -U18012,ACESSORIOS,INDEFINIDA,SEMI-CONTINUO,UNIVERSE S/A,ATIVO
2467,01.28.41,UNDERBRA -U18012,ACESSORIOS,INDEFINIDA,SEMI-CONTINUO,UNIVERSE S/A,ATIVO
2468,01.01.89,SOUTIEN S/ BOJO MICRO E SHAPE - 9011,UNDERWARE,BASICO,CONTINUO,VISLUMBRE,SALDO
2469,01.01.89,SOUTIEN S/ BOJO MICRO E SHAPE - 9011,UNDERWARE,BASICO,CONTINUO,VISLUMBRE,SALDO
2470,01.01.89,SOUTIEN S/ BOJO MICRO E SHAPE - 9011,UNDERWARE,BASICO,CONTINUO,VISLUMBRE,SALDO
2471,01.02.105,CALCINHA BIQUINI TG-738C,UNDERWARE,RENDA,CONTINUO,VISLUMBRE,INATIVO
2472,01.01.74,SOT LONGO STR+PER - 402519SP,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2473,01.01.74,SOT LONGO STR+PER - 402519SP,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2474,01.01.77,SOT BS RENDA STR BJ - 402416,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2475,01.01.77,SOT BS RENDA STR BJ - 402416,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2476,01.01.77,SOT BS RENDA STR BJ - 402416,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2477,01.02.77,CALCINHA SENHORA COTTON - 5051,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2478,01.02.78,BIQUINI LATERAL MICROFIBRA - 5183,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2479,01.02.78,BIQUINI LATERAL MICROFIBRA - 5183,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2480,01.02.78,BIQUINI LATERAL MICROFIBRA - 5183,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2481,01.02.78,BIQUINI LATERAL MICROFIBRA - 5183,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2482,01.02.78,BIQUINI LATERAL MICROFIBRA - 5183,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2483,01.02.78,BIQUINI LATERAL MICROFIBRA - 5183,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2484,01.02.78,BIQUINI LATERAL MICROFIBRA - 5183,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2485,01.08.89,CASAQUINHO ML ZIPER PLUSH BAS - C1189,VESTUARIO,INDEFINIDA,INVERNO - 2014,CATIVA,INATIVO
2486,01.08.89,CASAQUINHO ML ZIPER PLUSH BAS - C1189,VESTUARIO,INDEFINIDA,INVERNO - 2014,CATIVA,INATIVO
2487,01.08.89,CASAQUINHO ML ZIPER PLUSH BAS - C1189,VESTUARIO,INDEFINIDA,INVERNO - 2014,CATIVA,INATIVO
2488,01.08.89,CASAQUINHO ML ZIPER PLUSH BAS - C1189,VESTUARIO,INDEFINIDA,INVERNO - 2014,CATIVA,INATIVO
2489,01.08.89,CASAQUINHO ML ZIPER PLUSH BAS - C1189,VESTUARIO,INDEFINIDA,INVERNO - 2014,CATIVA,INATIVO
2490,01.14.11,SHORTS STHEFANY - 0.535.734,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,AGRUPADO
2491,01.14.11,SHORTS STHEFANY - 0.535.734,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,AGRUPADO
2492,01.14.11,SHORTS STHEFANY - 0.535.734,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,AGRUPADO
2493,01.14.12,SHORTS STHEFANY - 0.472.917,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,INATIVO
2494,01.14.12,SHORTS STHEFANY - 0.472.917,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,INATIVO
2495,01.15.17,VESTIDO MORGANE - 1244257,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,FORA DE LINHA
2496,01.15.18,VESTIDO NITA - 1760863,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,SALDO
2497,01.15.18,VESTIDO NITA - 1760863,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,SALDO
2498,01.15.19,VESTIDO KAREN - 1762794,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,INATIVO
2499,01.15.19,VESTIDO KAREN - 1762794,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,INATIVO
2500,01.15.20,VESTIDO GABI - 1451662,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,INATIVO
2501,01.15.20,VESTIDO GABI - 1451662,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,INATIVO
2502,01.15.20,VESTIDO GABI - 1451662,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,INATIVO
2503,01.16.12,REGATA ANTOINETE - 1464207,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,FORA DE LINHA
2504,01.16.12,REGATA ANTOINETE - 1464207,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,FORA DE LINHA
2505,01.50.02,MACACAO VERUZA - 1764480,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,AGRUPADO
2506,01.51.03,MACAQUINHO BRUNA - 1760945,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,SALDO
2507,01.51.03,MACAQUINHO BRUNA - 1760945,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,SALDO
2508,01.51.03,MACAQUINHO BRUNA - 1760945,VESTUARIO,INDEFINIDA,VERAO - 2014,QUINTESS,SALDO
2509,01.02.17,CALCINHA ALGODAO - 5122,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2510,01.02.17,CALCINHA ALGODAO - 5122,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,ATIVO
2511,01.02.17,CALCINHA ALGODAO - 5122,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,FORA DE LINHA
2512,01.02.17,CALCINHA ALGODAO - 5122,UNDERWARE,BASICO,CONTINUO,DIVA DONNA,FORA DE LINHA
2513,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2514,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2515,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2516,01.27.55,PQ MEDICA PLUS SIZE - 290,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2517,01.27.56,PQ PRISIONEIRA 2 - 304,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2518,01.27.57,PQ MAGICA - 3604,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2519,01.27.58,PQ EXECUTIVA PLUS SIZE - 390,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2520,01.27.59,PQ ESCRAVA DO PRAZER PLUS SIZE - 490,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2521,01.27.60,PQ FEITICEIRA PLUS SIZE - 690,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2522,01.27.61,PQ BRASILEIRINHA - 7704,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2523,01.27.62,PQ JUIZA  2- 7804,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2524,01.27.63,PQ COELHINHA PLUS SIZE - 790,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2525,01.27.65,PQ CAMISOLA ESPANHOLA - 6804,EROTICA,INDEFINIDA,CONTINUO,PIMENTA QUENTE,AGRUPADO
2526,01.27.67,PETALAS DA SEDUÇÃO  - SS0048,EROTICA,INDEFINIDA,CONTINUO,SEX SHOP,AGRUPADO
2527,02.02.17,CUECA BOXER COTTON - 110.04,UNDERWARE,MASCULINO,CONTINUO,MASH,FORA DE LINHA
2528,02.02.17,CUECA BOXER COTTON - 110.04,UNDERWARE,MASCULINO,CONTINUO,MASH,FORA DE LINHA
2529,02.02.17,CUECA BOXER COTTON - 110.04,UNDERWARE,MASCULINO,CONTINUO,MASH,FORA DE LINHA
2530,02.02.17,CUECA BOXER COTTON - 110.04,UNDERWARE,MASCULINO,CONTINUO,MASH,FORA DE LINHA
2531,02.02.17,CUECA BOXER COTTON - 110.04,UNDERWARE,MASCULINO,CONTINUO,MASH,FORA DE LINHA
2532,02.02.17,CUECA BOXER COTTON - 110.04,UNDERWARE,MASCULINO,CONTINUO,MASH,FORA DE LINHA
2533,01.08.14,BLUSA ML GIRL RENDA - BRS0043,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2534,01.45.10,CALCA FLARE LISA - BRS0042,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2535,01.45.10,CALCA FLARE LISA - BRS0042,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2536,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2537,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2538,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2539,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2540,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2541,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2542,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2543,01.49.2,CAMISA EST DDLN - BRS0041,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2544,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2545,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2546,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2547,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2548,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2549,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2550,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2551,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2552,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2553,01.49.3,CAMISA VISCOSE LISA - BRS0044,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2554,01.08.15,BLUSA FRENTE CETIM - BRS0046,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2555,01.08.15,BLUSA FRENTE CETIM - BRS0046,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2556,01.08.16,BLUSA FRENTE RENDA - BRS0048,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2557,01.08.16,BLUSA FRENTE RENDA - BRS0048,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2558,01.08.17,BATA LISA - BRS0049,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,ATIVO
2559,01.08.17,BATA LISA - BRS0049,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,ATIVO
2560,01.08.17,BATA LISA - BRS0049,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,ATIVO
2561,01.08.18,BLUSA SUB FLORAL - BRS0050,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,ATIVO
2562,01.08.19,BLUSA MC MESCLA - BRS0051,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2563,01.08.19,BLUSA MC MESCLA - BRS0051,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2564,01.08.19,BLUSA MC MESCLA - BRS0051,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2565,01.08.20,BLUSA SUBLIMACAO E RENDA - BRS0052,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2566,01.44.2,BLAZER SEM GOLA - BRS0054,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2567,01.44.3,BLAZER DET. LATERAL - BRS0055,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2568,01.44.4,BLAZER DET. COURO COSTAS - BRS0056,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2569,01.47.30,CASAQUINHO ONCA - BRS0053,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2570,01.49.4,CAMISA DET RENDA - BRS0047,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2571,01.49.4,CAMISA DET RENDA - BRS0047,VESTUARIO,INDEFINIDA,VERAO - 2015,BRAS,INATIVO
2572,01.47.26,CASAQUINHO ML TRICO - FRB004,VESTUARIO,INDEFINIDA,SEMI-CONTINUO INVERNO,FRAMBOESA TRICOT,INATIVO
2573,01.11.38,PIJAMA SLD FLANEJADO FEM - MSG001,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,FORA DE LINHA
2574,02.04.07,PIJAMA FLANELADO XD MASC - 14233,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
2575,02.04.07,PIJAMA FLANELADO XD MASC - 14233,LINHA NOITE,INDEFINIDA,INVERNO - 2016,MENSAGEIRO DOS SONHOS,INATIVO
2576,01.33.34,PERSEX STRASS - 8090,EROTICA,EROTICA,SEMI-CONTINUO,EROSS AFRODITE,ATIVO
2577,01.18.60,TOP BOJO NO EST - SAM009,MODA PRAIA,BASICO,VERAO - 2013,SAMPRAIA,INATIVO
2578,01.18.60,TOP BOJO NO EST - SAM009,MODA PRAIA,BASICO,VERAO - 2013,SAMPRAIA,INATIVO
2579,01.18.60,TOP BOJO NO EST - SAM009,MODA PRAIA,BASICO,VERAO - 2013,SAMPRAIA,INATIVO
2580,01.18.60,TOP BOJO NO EST - SAM009,MODA PRAIA,BASICO,VERAO - 2013,SAMPRAIA,INATIVO
2581,01.18.61,TOP BOJO NO LISO - SAM010,MODA PRAIA,BASICO,VERAO - 2014,SAMPRAIA,INATIVO
2582,01.18.61,TOP BOJO NO LISO - SAM010,MODA PRAIA,BASICO,VERAO - 2014,SAMPRAIA,INATIVO
2583,01.12.36,PIJAMA SLD VERAO P1 - MSG002,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
2584,01.12.37,PIJAMA SLD VERAO P2 - MSG003,LINHA NOITE,INDEFINIDA,VERAO - 2014,MENSAGEIRO DOS SONHOS,INATIVO
2585,01.12.37,PIJAMA SLD VERAO P2 - MSG003,LINHA NOITE,INDEFINIDA,VERAO - 2014,MENSAGEIRO DOS SONHOS,INATIVO
2586,01.12.38,PIJAMA SLD VERAO P3-MSG004,LINHA NOITE,INDEFINIDA,VERAO - 2014,MENSAGEIRO DOS SONHOS,INATIVO
2587,01.12.38,PIJAMA SLD VERAO P3-MSG004,LINHA NOITE,INDEFINIDA,VERAO - 2014,MENSAGEIRO DOS SONHOS,INATIVO
2588,01.12.39,PIJAMA SLD VERAO P4 - MSG005,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
2589,01.12.39,PIJAMA SLD VERAO P4 - MSG005,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
2590,01.12.39,PIJAMA SLD VERAO P4 - MSG005,LINHA NOITE,INDEFINIDA,INVERNO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
2591,01.19.62,CALCA BOMBOM LISA - SAM003,MODA PRAIA,BASICO,VERAO - 2013,SAMPRAIA,INATIVO
2592,01.18.61,TOP BOJO NO LISO - SAM010,MODA PRAIA,BASICO,VERAO - 2014,SAMPRAIA,INATIVO
2593,01.28.33,KIT MEIA LUPO-MASH - SLD0092,UNDERWARE,INDEFINIDA,INDEFINIDA,SALDOS,SALDO
2594,01.28.34,KIT CALC INF VENE - SLD0091,UNDERWARE,INDEFINIDA,INDEFINIDA,SALDOS,SALDO
2595,01.12.40,SHORT DOLL REGATA COOL-13639,LINHA NOITE,INDEFINIDA,VERAO - 2016,MENSAGEIRO DOS SONHOS,FORA DE LINHA
2596,01.12.40,SHORT DOLL REGATA COOL-13639,LINHA NOITE,INDEFINIDA,VERAO - 2016,MENSAGEIRO DOS SONHOS,FORA DE LINHA
2597,01.12.41,SHORT DOLL REGATA RENDA-13673,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
2598,01.12.41,SHORT DOLL REGATA RENDA-13673,LINHA NOITE,INDEFINIDA,VERAO - 2015,MENSAGEIRO DOS SONHOS,INATIVO
2599,01.12.42,SHORT DOLL ALÇA LOVE-15007397,LINHA NOITE,INDEFINIDA,VERAO - 2015,LAIBEL,INATIVO
2600,01.12.43,SHORT DOLL REGATA LOVE-15007390,LINHA NOITE,INDEFINIDA,VERAO - 2015,LAIBEL,INATIVO
2601,01.12.43,SHORT DOLL REGATA LOVE-15007390,LINHA NOITE,INDEFINIDA,VERAO - 2015,LAIBEL,INATIVO
2602,01.12.43,SHORT DOLL REGATA LOVE-15007390,LINHA NOITE,INDEFINIDA,VERAO - 2015,LAIBEL,INATIVO
2603,01.12.16,PIJAMA GESTANTE -3042,LINHA NOITE,INDEFINIDA,VERAO - 2016,SONHO DE PIJAMA,AGRUPADO
2604,01.12.44,SHORT DOLL REG GATINHA-2242/4,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,INATIVO
2605,01.12.45,SHORT DOLL REG BOLINHA-2242/2,LINHA NOITE,INDEFINIDA,VERAO - 2016,SONHO DE PIJAMA,INATIVO
2606,01.12.45,SHORT DOLL REG BOLINHA-2242/2,LINHA NOITE,INDEFINIDA,VERAO - 2016,SONHO DE PIJAMA,INATIVO
2607,01.12.46,SHORT DOLL CAM FOFINHO-2222,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,INATIVO
2608,01.12.46,SHORT DOLL CAM FOFINHO-2222,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,INATIVO
2609,01.12.47,SHORT DOLL ABERTO LISTRAS-2239,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,AGRUPADO
2610,01.12.47,SHORT DOLL ABERTO LISTRAS-2239,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,AGRUPADO
2611,01.12.47,SHORT DOLL ABERTO LISTRAS-2239,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,AGRUPADO
2612,01.12.48,PESCADOR CAM FLORAL-4096,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,INATIVO
2613,01.12.48,PESCADOR CAM FLORAL-4096,LINHA NOITE,INDEFINIDA,VERAO - 2015,SONHO DE PIJAMA,INATIVO
2614,01.13.23,CAMISOLA FLORAL-4095,LINHA NOITE,INDEFINIDA,VERAO - 2014,SONHO DE PIJAMA,AGRUPADO
2615,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2616,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2617,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2618,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2619,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2620,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2621,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2622,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2623,01.02.22,CAL FD RENDA - 502412,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,INATIVO
2624,01.01.24,CAL BIQ RENDA - 502368,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
2625,01.01.24,CAL BIQ RENDA - 502368,UNDERWARE,RENDA,SEMI-CONTINUO,CLASS,SALDO
